RIA,whatisit,http://joinup.ec.europa.eu/site/core_vocabularies/Core_Vocabularies_v1.1/LegalEntity
RIA,http://joinup.ec.europa.eu/site/core_vocabularies/Core_Vocabularies_v1.1/LegalEntity/Identifier,http://register.fin.ee/RKOAR/70006317
RIA,http://joinup.ec.europa.eu/site/core_vocabularies/Core_Vocabularies_v1.1/LegalEntity/Provides,RIHA
RIA,http://joinup.ec.europa.eu/site/core_vocabularies/Core_Vocabularies_v1.1/LegalEntity/CompanyType,Authority
RIA,http://meta.ria.ee/semantika/haldusala,http://register.fin.ee/RKOAR/70003158
RIHA,whatisit,http://joinup.ec.europa.eu/site/core_vocabularies/Core_Vocabularies_v1.1/PublicService
RIHA,http://joinup.ec.europa.eu/site/core_vocabularies/Core_Vocabularies_v1.1/PublicService/Description,Maintaining a registry of information systems of Estonia
RIHA,http://joinup.ec.europa.eu/site/core_vocabularies/Core_Vocabularies_v1.1/PublicService/Requires,http://www.mkm.ee/seadusloome
RIHA,http://meta.ria.ee/semantika/URI,http://meta.ria.ee/RIHA/teenused/RIHA
,,
MKM,whatisit,http://joinup.ec.europa.eu/site/core_vocabularies/Core_Vocabularies_v1.1/LegalEntity
MKM,http://joinup.ec.europa.eu/site/core_vocabularies/Core_Vocabularies_v1.1/LegalEntity/Identifier,http://register.fin.ee/RKOAR/70003158
MKM,http://joinup.ec.europa.eu/site/core_vocabularies/Core_Vocabularies_v1.1/LegalEntity/Provides,seadusloome
MKM,http://joinup.ec.europa.eu/site/core_vocabularies/Core_Vocabularies_v1.1/LegalEntity/CompanyType,Ministry
seadusloome,whatisit,http://joinup.ec.europa.eu/site/core_vocabularies/Core_Vocabularies_v1.1/PublicService
seadusloome,http://joinup.ec.europa.eu/site/core_vocabularies/Core_Vocabularies_v1.1/PublicService/Description,Creating legislation supporting public policies
seadusloome,http://meta.ria.ee/semantika/URI,http://www.mkm.ee/seadusloome
,,
Maanteeamet,whatisit,http://joinup.ec.europa.eu/site/core_vocabularies/Core_Vocabularies_v1.1/LegalEntity
Maanteeamet,http://joinup.ec.europa.eu/site/core_vocabularies/Core_Vocabularies_v1.1/LegalEntity/Identifier,http://register.fin.ee/RKOAR/70001490
Maanteeamet,http://joinup.ec.europa.eu/site/core_vocabularies/Core_Vocabularies_v1.1/LegalEntity/Provides,teehooldus
Maanteeamet,http://joinup.ec.europa.eu/site/core_vocabularies/Core_Vocabularies_v1.1/LegalEntity/CompanyType,Administration
Maanteeamet,http://meta.ria.ee/semantika/haldusala,http://register.fin.ee/RKOAR/70003158
teehooldus,whatisit,http://joinup.ec.europa.eu/site/core_vocabularies/Core_Vocabularies_v1.1/PublicService
teehooldus,http://joinup.ec.europa.eu/site/core_vocabularies/Core_Vocabularies_v1.1/PublicService/Description,Maintaining public roads
teehooldus,http://meta.ria.ee/semantika/URI,http://www.mkm.ee/teehooldus
